MOLECULE,AR_ALLATOM_RATIO,CAR_ALLCARBON_RATIO,CAR_COUNT,CHIRAL_ALLATOM_RATIO,CHIRAL_ALLCARBON_RATIO,CHIRAL_COUNT,CSP2_ALLATOM_RATIO,CSP2_ALLCARBON_RATIO,CSP2_COUNT,CSP3_ALLATOM_RATIO,CSP3_ALLCARBON_RATIO,CSP3_COUNT,CSP_ALLATOM_RATIO,CSP_ALLCARBON_RATIO,CSP_COUNT,TOTALATOM_COUNT,TOTALCARBON_COUNT,PCOMPLEX,TTCOMPLEX,UNIQUEAP,UNIQUETT
MK_0476,0.512,0.600,21,0.024,0.029,1,0.073,0.086,3,0.268,0.314,11,0.000,0.000,0,41,35,0.39,0.53,320.00,41.00
MK_0518,0.250,0.400,8,0.000,0.000,0,0.188,0.300,6,0.188,0.300,6,0.000,0.000,0,32,20,0.54,0.75,270.00,47.00
MK_0524,0.483,0.667,14,0.034,0.048,1,0.034,0.048,1,0.207,0.286,6,0.000,0.000,0,29,21,0.44,0.60,180.00,39.00
MK_0653,0.600,0.750,18,0.100,0.125,3,0.033,0.042,1,0.167,0.208,5,0.000,0.000,0,30,24,0.38,0.48,164.00,30.00
MK_0663,0.667,0.889,16,0.000,0.000,0,0.000,0.000,0,0.083,0.111,2,0.000,0.000,0,24,18,0.38,0.49,106.00,23.00
MK_0733,0.000,0.000,0,0.200,0.240,6,0.200,0.240,6,0.633,0.760,19,0.000,0.000,0,30,25,0.54,0.76,235.00,45.00
MK_0822,0.333,0.480,12,0.056,0.080,2,0.028,0.040,1,0.306,0.440,11,0.028,0.040,1,36,25,0.47,0.48,297.00,31.00
MK_0826,0.182,0.273,6,0.182,0.273,6,0.182,0.273,6,0.303,0.455,10,0.000,0.000,0,33,22,0.59,0.77,311.00,58.00
MK_0859,0.409,0.600,18,0.045,0.067,2,0.023,0.033,1,0.250,0.367,11,0.000,0.000,0,44,30,0.31,0.52,290.00,48.00
MK_0954,0.533,0.727,16,0.000,0.000,0,0.000,0.000,0,0.200,0.273,6,0.000,0.000,0,30,22,0.45,0.68,195.00,42.00
MK_0974,0.275,0.423,11,0.050,0.077,2,0.075,0.115,3,0.300,0.462,12,0.000,0.000,0,40,26,0.48,0.71,371.00,60.00
MK_1439,0.207,0.353,6,0.000,0.000,0,0.241,0.412,7,0.103,0.176,3,0.034,0.059,1,29,17,0.60,0.74,245.00,43.00
MK_1602,0.400,0.552,16,0.100,0.138,4,0.075,0.103,3,0.250,0.345,10,0.000,0.000,0,40,29,0.47,0.74,369.00,70.00
MK_2985,0.407,0.500,11,0.000,0.000,0,0.111,0.136,3,0.296,0.364,8,0.000,0.000,0,27,22,0.41,0.57,145.00,33.00
MK_3682,0.167,0.273,6,0.167,0.273,6,0.139,0.227,5,0.306,0.500,11,0.000,0.000,0,36,22,0.62,0.88,391.00,61.00
MK_3814,0.432,0.640,16,0.000,0.000,0,0.000,0.000,0,0.243,0.360,9,0.000,0.000,0,37,25,0.44,0.52,295.00,43.00
MK_4305,0.469,0.652,15,0.031,0.043,1,0.031,0.043,1,0.219,0.304,7,0.000,0.000,0,32,23,0.49,0.73,241.00,52.00
MK_4618,0.364,0.462,12,0.121,0.154,4,0.152,0.192,5,0.273,0.346,9,0.000,0.000,0,33,26,0.49,0.71,258.00,50.00
MK_5172,0.148,0.211,8,0.130,0.184,7,0.111,0.158,6,0.444,0.632,24,0.000,0.000,0,54,38,0.43,0.80,616.00,93.00
MK_5348,0.306,0.379,11,0.194,0.241,7,0.111,0.138,4,0.389,0.483,14,0.000,0.000,0,36,29,0.49,0.60,309.00,46.00
MK_6621,0.240,0.300,6,0.120,0.150,3,0.000,0.000,0,0.560,0.700,14,0.000,0.000,0,25,20,0.50,0.83,151.00,39.00
MK_7009,0.113,0.158,6,0.094,0.132,5,0.094,0.132,5,0.509,0.711,27,0.000,0.000,0,53,38,0.37,0.74,509.00,83.00
MK_7625,0.111,0.217,5,0.044,0.087,2,0.178,0.348,8,0.222,0.435,10,0.000,0.000,0,45,23,0.62,0.86,618.00,81.00
MK_7655,0.000,0.000,0,0.087,0.167,2,0.087,0.167,2,0.435,0.833,10,0.000,0.000,0,23,12,0.56,0.72,141.00,33.00
MK_8228,0.439,0.621,18,0.024,0.034,1,0.049,0.069,2,0.220,0.310,9,0.000,0.000,0,41,29,0.40,0.60,331.00,53.00
MK_8408,0.338,0.469,23,0.074,0.102,5,0.059,0.082,4,0.324,0.449,22,0.000,0.000,0,68,49,0.33,0.46,744.00,75.00
MK_8742,0.400,0.531,26,0.077,0.102,5,0.062,0.082,4,0.292,0.388,19,0.000,0.000,0,65,49,0.28,0.45,574.00,68.00
MK_8931,0.393,0.647,11,0.036,0.059,1,0.071,0.118,2,0.143,0.235,4,0.000,0.000,0,28,17,0.65,0.86,247.00,50.00
